route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,100520000,63480525,0
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,63480524,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,63481371,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,63481380,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,63481369,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,63480178,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,63480184,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,63480011,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,63480010,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,63480760,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,63480280,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-3914aae7-0,CR-Fairmount,0,South Station - Fairmount,,2,200010010,CR-670349-921,2
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fairmount-6ae938c4-1,CR-Fairmount,1,Fairmount - South Station,,2,200011010,CR-670350-922,2
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200020000,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-8294748d-0,CR-Fitchburg,0,North Station - Wachusett,,2,200020030,Porter-685086-423,2
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200020040,Porter-685097-481,2
CR-Fitchburg-64620ee3-0,CR-Fitchburg,0,North Station - Porter,,2,200020050,Porter-685234-8405,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200021000,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-94972bc9-1,CR-Fitchburg,1,Wachusett - North Station,,2,200021030,Porter-685073-404,2
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200021040,Porter-685098-482,2
CR-Fitchburg-ade26425-1,CR-Fitchburg,1,Porter - North Station,,2,200021050,Porter-685231-8400,2
CR-Worcester-b5dda27b-0,CR-Worcester,0,South Station - Worcester,,2,200030020,canonical-CR-Worcester-C1-0,1
CR-Worcester-b7d67732-0,CR-Worcester,0,South Station - Framingham,,2,200030030,CR-683318-591,2
CR-Worcester-d18892dd-0,CR-Worcester,0,South Station - Framingham,,2,200030040,CR-683322-595,2
CR-Worcester-b65b9e75-0,CR-Worcester,0,South Station - Framingham,,2,200030110,CR-683314-583,2
CR-Worcester-bbf42cea-0,CR-Worcester,0,South Station - Framingham,,2,200030120,CR-683316-585,2
CR-Worcester-3c40051f-0,CR-Worcester,0,South Station - Worcester,,2,200030130,CR-683310-537,2
CR-Worcester-15b1f0b8-0,CR-Worcester,0,South Station - Worcester,,2,200030140,CR-683296-523,2
CR-Worcester-b7d1e6e8-0,CR-Worcester,0,South Station - Worcester,,2,200030150,CR-683304-531,2
CR-Worcester-02498220-0,CR-Worcester,0,South Station - Worcester,,2,200030160,CR-683302-529,2
CR-Worcester-6436caf7-0,CR-Worcester,0,South Station - Worcester,,2,200030170,CR-683278-501,2
CR-Worcester-6fbe3217-0,CR-Worcester,0,South Station - Worcester,,2,200030180,CR-683281-507,2
CR-Worcester-a512d591-0,CR-Worcester,0,South Station - Worcester,,2,200030210,CR-683694-505,2
CR-Worcester-2fe54abd-0,CR-Worcester,0,South Station - Worcester,,2,200030220,CR-683698-549,2
CR-Worcester-5d1e1c51-0,CR-Worcester,0,South Station - Worcester,,2,200030230,CR-683298-525,2
CR-Worcester-647db84d-1,CR-Worcester,1,Worcester - South Station,,2,200031020,CR-683277-500,2
CR-Worcester-8171c73d-1,CR-Worcester,1,Framingham - South Station,,2,200031030,CR-683321-594,2
CR-Worcester-8e925022-1,CR-Worcester,1,Framingham - South Station,,2,200031040,CR-683319-592,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,2,200031140,CR-683315-584,2
CR-Worcester-257727ec-1,CR-Worcester,1,Worcester - South Station,,2,200031170,CR-683303-530,2
CR-Worcester-16491f70-1,CR-Worcester,1,Worcester - South Station,,2,200031180,CR-683299-526,2
CR-Worcester-38ca01ee-1,CR-Worcester,1,Worcester - South Station,,2,200031190,CR-683297-524,2
CR-Worcester-a814f00c-1,CR-Worcester,1,Worcester - South Station,,2,200031200,CR-683289-516,2
CR-Worcester-72c8dfb6-1,CR-Worcester,1,Worcester - South Station,,2,200031210,CR-683279-504,2
CR-Worcester-16e1833f-1,CR-Worcester,1,Worcester - South Station,,2,200031250,CR-683696-552,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200031991,canonical-CR-Worcester-C1-1,1
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200040000,CR-670214-705,2
CR-Franklin-35c1126a-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,1,200040010,CR-670238-741,2
CR-Franklin-1af2beab-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040020,CR-670248-751,2
CR-Franklin-8076e72e-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040030,CR-670244-747,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040040,CR-670240-743,2
CR-Franklin-807421e2-0,CR-Franklin,0,South Station - Forge Park/495 via Fairmount,,2,200040050,CR-670236-735,2
CR-Franklin-78461397-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040060,CR-670225-723,2
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040070,CR-670219-713,2
CR-Franklin-2757d279-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040080,CR-670252-755,2
CR-Franklin-f3922b8c-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040090,CR-670250-753,2
CR-Franklin-dabfeb0c-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040100,CR-670232-731,2
CR-Franklin-36a30c21-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040120,CR-670226-725,2
CR-Franklin-dc09eba3-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040130,CR-670223-721,2
CR-Franklin-C1-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,5,200040991,canonical-CR-Franklin-C1-0,1
CR-Franklin-C2-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,5,200040992,canonical-CR-Franklin-C2-0,1
CR-Franklin-02118599-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,1,200041000,CR-670213-704,2
CR-Franklin-cb37a682-1,CR-Franklin,1,Foxboro - South Station via Fairmount,,1,200041010,CR-670237-740,2
CR-Franklin-47d24b90-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041030,CR-670241-744,2
CR-Franklin-be153239-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041040,CR-670251-754,2
CR-Franklin-d7300846-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041050,CR-670239-742,2
CR-Franklin-901f1692-1,CR-Franklin,1,Forge Park/495 - South Station via Fairmount,,2,200041060,CR-670233-732,2
CR-Franklin-541f8dad-1,CR-Franklin,1,Franklin - South Station via Fairmount,,2,200041070,CR-670229-728,2
CR-Franklin-efd9798e-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,2,200041080,CR-670212-700,2
CR-Franklin-4ee256a8-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,2,200041090,CR-670245-748,2
CR-Franklin-7c3247fa-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,2,200041110,CR-670222-718,2
CR-Franklin-46a8d1ee-1,CR-Franklin,1,Forge Park/495 - Readville,,2,200041120,CR-670235-734,2
CR-Franklin-6a65c6cc-1,CR-Franklin,1,Foxboro - South Station,,2,200041130,CR-670249-752,2
CR-Franklin-C1-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,5,200041991,canonical-CR-Franklin-C1-1,1
CR-Franklin-C2-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,5,200041992,canonical-CR-Franklin-C2-1,1
CR-Greenbush-6d652c57-0,CR-Greenbush,0,South Station - Greenbush,,1,200050000,canonical-CR-Greenbush-C1-0,1
CR-Greenbush-414eb5a9-1,CR-Greenbush,1,Greenbush - South Station,,1,200051000,canonical-CR-Greenbush-C1-1,1
CR-Haverhill-5b586e27-0,CR-Haverhill,0,North Station - Haverhill,,2,200060040,CR-676462-217,2
CR-Haverhill-e84d4313-0,CR-Haverhill,0,North Station - Bradford via Reading,,2,200060070,ElmSt-684842-201-HaverhillBradfordVan,2
CR-Haverhill-0d9f7334-0,CR-Haverhill,0,North Station - Haverhill via Reading,,2,200060080,CR-676451-201,2
CR-Haverhill-8d9ad8d2-0,CR-Haverhill,0,North Station - Bradford,,2,200060090,July2728-686558-1203-HaverhillBradfordVan,2
CR-Haverhill-5e000b78-0,CR-Haverhill,0,North Station - Reading,,2,200060100,ElmSt-684405-281-HaverhillBradfordVan,2
CR-Haverhill-56199cd1-0,CR-Haverhill,0,North Station - Bradford via Reading,,2,200060110,ElmSt-684854-213-HaverhillBradfordVan,2
CR-Haverhill-eb73b1d3-0,CR-Haverhill,0,North Station - Bradford,,2,200060120,ElmSt-684858-217-HaverhillBradfordVan,2
CR-Haverhill-C1-0,CR-Haverhill,0,North Station - Haverhill,,5,200060991,canonical-CR-Haverhill-C1-0,1
CR-Haverhill-ebc58735-1,CR-Haverhill,1,Haverhill - North Station via Reading,,1,200061000,canonical-CR-Haverhill-C1-1,1
CR-Haverhill-9a2b8f60-1,CR-Haverhill,1,Haverhill - North Station via Anderson/Woburn,,2,200061030,CR-676453-204,2
CR-Haverhill-6984317f-1,CR-Haverhill,1,Haverhill - North Station,,2,200061040,July1314-686428-1206,2
CR-Haverhill-dcfde8e9-1,CR-Haverhill,1,Lawrence - North Station via Reading,,2,200061050,ElmSt-684404-280-HaverhillBradfordVan,2
CR-Haverhill-0629a9bc-1,CR-Haverhill,1,Reading - North Station,,2,200061060,ElmSt-684406-282-HaverhillBradfordVan,2
CR-Haverhill-381a654f-1,CR-Haverhill,1,Bradford - North Station via Reading,,2,200061090,ElmSt-684841-200-HaverhillBradfordVan,2
CR-Haverhill-4f01f44f-1,CR-Haverhill,1,Bradford - North Station,,2,200061100,July2728-686557-1208-HaverhillBradfordVan,2
CR-Haverhill-fa9eb81b-1,CR-Haverhill,1,Bradford - North Station via Anderson/Woburn,,2,200061110,ElmSt-684844-204-HaverhillBradfordVan,2
CR-Haverhill-9794afd5-1,CR-Haverhill,1,Bradford - North Station via Reading,,2,200061120,ElmSt-684859-218-HaverhillBradfordVan,2
CR-Kingston-5caee635-0,CR-Kingston,0,South Station - Kingston,,1,200070000,canonical-CR-Kingston-C1-0,1
CR-Kingston-7014db43-0,CR-Kingston,0,Braintree - Kingston,,2,200070010,CR-670103-067,2
CR-Kingston-6cec404d-1,CR-Kingston,1,Kingston - South Station,,1,200071000,canonical-CR-Kingston-C1-1,1
CR-Kingston-35bb26b3-1,CR-Kingston,1,Kingston - Braintree,,2,200071010,CR-670102-066,2
CR-Lowell-90161884-0,CR-Lowell,0,North Station - Lowell,,1,200080000,CR-660302-301,2
CR-Lowell-C1-0,CR-Lowell,0,North Station - Lowell,,5,200080991,canonical-CR-Lowell-C1-0,1
CR-Lowell-5cb1ce1b-1,CR-Lowell,1,Lowell - North Station,,1,200081000,CR-660301-300,2
CR-Lowell-C1-1,CR-Lowell,1,Lowell - North Station,,5,200081991,canonical-CR-Lowell-C1-1,1
CR-Middleborough-52b80476-0,CR-Middleborough,0,South Station - Middleborough/Lakeville,,1,200090000,canonical-CR-Middleborough-C1-0,1
CR-Middleborough-75bed2bb-1,CR-Middleborough,1,Middleborough/Lakeville - South Station,,1,200091000,canonical-CR-Middleborough-C1-1,1
CR-Needham-a6552e0a-0,CR-Needham,0,South Station - Needham Heights,,1,200100000,CR-670180-603,2
CR-Needham-7f6dbefb-0,CR-Needham,0,Forest Hills - Needham Heights,,2,200100010,CR-670210-633,2
CR-Needham-69669b59-0,CR-Needham,0,South Station - Needham Heights,,2,200100020,CR-670186-609,2
CR-Needham-C1-0,CR-Needham,0,South Station - Needham Heights,,5,200100991,canonical-CR-Needham-C1-0,1
CR-Needham-d774fb34-1,CR-Needham,1,Needham Heights - South Station,,1,200101000,CR-670178-600,2
CR-Needham-68a3e69b-1,CR-Needham,1,Needham Heights - Forest Hills,,2,200101010,CR-670209-632,2
CR-Needham-a01e12e1-1,CR-Needham,1,Needham Heights - South Station,,2,200101020,CR-670201-624,2
CR-Needham-C1-1,CR-Needham,1,Needham Heights - South Station,,5,200101991,canonical-CR-Needham-C1-1,1
CR-Newburyport-79533330-0,CR-Newburyport,0,North Station - Newburyport,,2,200110040,CR-660244-145,2
CR-Newburyport-e54dc640-0,CR-Newburyport,0,North Station - Rockport,,2,200110050,CR-660216-105,2
CR-Newburyport-8ac7b3db-0,CR-Newburyport,0,Salem - Newburyport,,2,200110110,CR-660265-167,2
CR-Newburyport-8a970322-0,CR-Newburyport,0,North Station - Newburyport,,1,200110160,canonical-CR-Newburyport-C1-0,1
CR-Newburyport-9b0217f4-0,CR-Newburyport,0,North Station - Beverly,,2,200110170,CR-660266-191,2
CR-Newburyport-5967b204-0,CR-Newburyport,0,North Station - Rockport,,1,200110180,canonical-CR-Newburyport-C2-0,1
CR-Newburyport-d47c5647-1,CR-Newburyport,1,Rockport - North Station,,2,200111040,CR-660217-106,2
CR-Newburyport-7e4857df-1,CR-Newburyport,1,Newburyport - North Station,,2,200111050,CR-660243-144,2
CR-Newburyport-f5cebd1b-1,CR-Newburyport,1,Beverly - North Station,,2,200111140,CR-660269-198,2
CR-Newburyport-e6060026-1,CR-Newburyport,1,Newburyport - North Station,,1,200111150,canonical-CR-Newburyport-C1-1,1
CR-Newburyport-05eb9eab-1,CR-Newburyport,1,Rockport - North Station,,1,200111160,canonical-CR-Newburyport-C2-1,1
CR-Newburyport-7bd69ec3-1,CR-Newburyport,1,Beverly - North Station,,2,200111170,CR-660267-192,2
CR-Providence-9cf54fb3-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,1,200120000,CR-670259-801,2
CR-Providence-d36ab58d-0,CR-Providence,0,South Station - Stoughton via Back Bay,,1,200120010,CR-670328-889,2
CR-Providence-8344b9b3-0,CR-Providence,0,South Station - Stoughton via Fairmount,,2,200120030,CR-670331-893,2
CR-Providence-9515a09b-0,CR-Providence,0,South Station - Stoughton via Back Bay,,2,200120040,CR-670301-861,2
CR-Providence-743ff41d-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120070,CR-670263-805,2
CR-Providence-a9a49f44-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,2,200120080,CR-670285-827,2
CR-Providence-cea1b73d-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,2,200120090,CR-670267-809,2
CR-Providence-cf299c9f-0,CR-Providence,0,South Station - Stoughton via Back Bay,,2,200120100,CR-670314-875,2
CR-Providence-43081d8a-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120110,CR-670297-839,2
CR-Providence-744cd707-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120130,CR-677157-1817,2
CR-Providence-56219e02-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120140,CR-677157-1817-1,2
CR-Providence-1c0cbb39-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,2,200120160,CR-670261-803,2
CR-Providence-02353231-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120170,CR-670271-813,2
CR-Providence-e7e93ca2-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,2,200120180,CR-670277-819,2
CR-Providence-49a464e3-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,2,200120190,CR-670281-823,2
CR-Providence-c7d78e5d-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120200,CR-670291-833,2
CR-Providence-5ec86501-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120210,CR-670295-837,2
CR-Providence-a72810c2-0,CR-Providence,0,South Station - Providence via Back Bay,,2,200120220,CR-670299-841,2
CR-Providence-1f955147-0,CR-Providence,0,South Station - Stoughton via Back Bay,,2,200120230,CR-670312-873,2
CR-Providence-C1-0,CR-Providence,0,South Station - Wickford Junction via Back Bay,,5,200120991,canonical-CR-Providence-C1-0,1
CR-Providence-C2-0,CR-Providence,0,South Station - Stoughton via Back Bay,,5,200120992,canonical-CR-Providence-C2-0,1
CR-Providence-e9395acc-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,1,200121000,CR-670278-820,2
CR-Providence-6cae46be-1,CR-Providence,1,Stoughton - South Station via Back Bay,,1,200121010,CR-670300-860,2
CR-Providence-0465673f-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121020,CR-670260-802,2
CR-Providence-c2a7e4dc-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121050,CR-670270-812,2
CR-Providence-30afc537-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121060,CR-670282-824,2
CR-Providence-403369a9-1,CR-Providence,1,Stoughton - South Station via Back Bay,,2,200121080,CR-670327-888,2
CR-Providence-b26ac00b-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121090,CR-670298-840,2
CR-Providence-e6702e01-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121110,CR-670258-800,2
CR-Providence-1b128040-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,2,200121120,CR-670264-806,2
CR-Providence-143c8a71-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,2,200121130,CR-670272-814,2
CR-Providence-e903b16a-1,CR-Providence,1,Providence - South Station via Back Bay,,2,200121140,CR-670286-828,2
CR-Providence-8136f884-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,2,200121150,CR-670292-834,2
CR-Providence-dc0794ca-1,CR-Providence,1,Stoughton - South Station via Back Bay,,2,200121160,CR-670302-862,2
CR-Providence-C1-1,CR-Providence,1,Wickford Junction - South Station via Back Bay,,5,200121991,canonical-CR-Providence-C1-1,1
CR-Providence-C2-1,CR-Providence,1,Stoughton - South Station via Back Bay,,5,200121992,canonical-CR-Providence-C2-1,1
CR-Foxboro-71c5586e-0,CR-Foxboro,0,South Station - Foxboro,,1,200130000,ZachBryan676675-9765,2
CR-Foxboro-C1-0,CR-Foxboro,0,South Station - Foxboro,,5,200130991,canonical-CR-Foxboro-C1-0,1
CR-Foxboro-C2-0,CR-Foxboro,0,Foxboro - Providence,,5,200130992,canonical-CR-Foxboro-C2-0,1
CR-Foxboro-C1-1,CR-Foxboro,1,Foxboro - South Station,,5,200131991,canonical-CR-Foxboro-C1-1,1
CR-Foxboro-C2-1,CR-Foxboro,1,Providence - Foxboro,,5,200131992,canonical-CR-Foxboro-C2-1,1
CapeFlyer-c6405ea1-0,CapeFlyer,0,South Station - Hyannis,,1,210000000,canonical-CapeFlyer-C1-0,1
CapeFlyer-323a1583-1,CapeFlyer,1,Hyannis - South Station,,1,210001000,canonical-CapeFlyer-C1-1,1
Boat-F4-0-0,Boat-F4,0,Long Wharf - Charlestown Navy Yard,,1,300010000,Boat-F4-0630-Long-B-01-Weekday-Summer-24,0
Boat-F4-0-1,Boat-F4,1,Charlestown Navy Yard - Long Wharf,,1,300011000,Boat-F4-0645-Charlestown-B-01-Weekday-Summer-24,0
Boat-F1-0-0,Boat-F1,0,Long Wharf - Hingham via Logan Airport & Hull,,1,300020000,Boat-F1-1100-Long-BF2H-01-Weekday-Summer-24,0
Boat-F1-1-0,Boat-F1,0,Long Wharf - Hingham via Hull,,1,300020010,Boat-F1-1540-Long-BF2H-04-Weekday-Summer-24,0
Boat-F1-2-0,Boat-F1,0,Rowes Wharf - Hingham,Weekdays only,1,300020020,Boat-F1-0650-Rowes-BF1-01-Weekday-Summer-24,0
Boat-F1-3-0,Boat-F1,0,Long Wharf - Hull,,2,300020030,Boat-F1-0800-Long-BF2H-01-Weekday-Summer-24,0
Boat-F1-4-0,Boat-F1,0,Long Wharf - Hingham via Logan Airport,,2,300020040,Boat-F1-0910-Long-BF2H-01-Weekday-Summer-24,0
Boat-F1-5-0,Boat-F1,0,Long Wharf - Hingham via Georges Island & Hull,Summer weekday middays only,1,300020050,Boat-F1-1300-Long-BF2H-01-Weekday-Summer-24,0
Boat-F1-6-0,Boat-F1,0,Long Wharf - Hingham,,2,300020060,Boat-F1-1215-Long-BF2H-03-Weekday-Summer-24,0
Boat-F1-7-0,Boat-F1,0,Long Wharf - Hingham via Georges Island,,2,300020070,Boat-F1-1200-Long-BF2H-02-Saturday-Summer-24,0
Boat-F1-9-0,Boat-F1,0,Long Wharf - Hull via Logan Airport,,2,300020090,Boat-F1-0625-Long-BF2H-01-Weekday-Summer-24,0
Boat-F1-0-1,Boat-F1,1,Hingham - Long Wharf via Hull & Logan Airport,,1,300021000,Boat-F1-1300-Hingham-BF2H-03-Weekday-Summer-24,0
Boat-F1-1-1,Boat-F1,1,Hingham - Long Wharf via Hull,,1,300021010,Boat-F1-0540-Hingham-BF2H-01-Weekday-Summer-24,0
Boat-F1-2-1,Boat-F1,1,Hingham - Rowes Wharf,Weekdays only,1,300021020,Boat-F1-0600-Hingham-BF1-01-Weekday-Summer-24,0
Boat-F1-3-1,Boat-F1,1,Hull - Long Wharf,,2,300021030,Boat-F1-0730-Hull-BF2H-01-Weekday-Summer-24,0
Boat-F1-4-1,Boat-F1,1,Hingham - Long Wharf via Logan Airport,,2,300021040,Boat-F1-1545-Hingham-BF2H-05-Weekday-Summer-24,0
Boat-F1-6-1,Boat-F1,1,Hingham - Long Wharf,,2,300021060,Boat-F1-1400-Hingham-BF2H-01-Weekday-Summer-24,0
